epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,1500000,626,-561.5814696485627,-1100,320,1,0,0,0,0,0,208.38165,208.381595,7198.332463094929
1,train,250000,104,-517.6923076923077,-980,790,0.9967391434782609,250000,250000,1.24521e-08,0.0032646542299171414,62492,735.8892529999999,527.5073209999999,473.9270718102508
1,test,125000,52,-824.0384615384614,-1100,-330,0.05,250000,250000,1.24521e-08,0,62492,990.341024,254.43639899999994,491.28190970820975
2,train,250000,104,-587.019230769231,-1020,210,0.9934782739130434,500000,500000,-8.71032e-06,0.0015854671826818906,124992,1522.755985,532.412417,469.5607991426691
2,test,125000,52,-879.8076923076923,-1100,-380,0.05,500000,500000,-8.71032e-06,0,124992,1778.698544,255.92727000000014,488.42001088824935
3,train,250000,104,-608.9423076923078,-1000,220,0.9902174043478261,750000,750000,-2.30803e-05,0.0010420365358036223,187492,2308.183351,529.4824930000002,472.15914275753005
3,test,125000,52,-950.5769230769232,-1100,-550,0.05,750000,750000,-2.30803e-05,0,187492,2551.810968,243.613609,513.1076236385464
4,train,250000,104,-522.8846153846154,-1020,200,0.9869565347826087,1000000,1000000,-4.91513e-05,0.00078551779793622784,249992,3068.777689,516.9644330000001,483.59226291298836
4,test,125000,52,-974.0384615384615,-1100,-690,0.05,1000000,1000000,-4.91513e-05,0,249992,3311.994838,243.20256400000017,513.9748444428403
5,train,250000,104,-594.2307692307693,-1040,230,0.9836956652173913,1250000,1250000,-0.000110108,0.00062625769194127681,312492,3831.052469,519.0553370000002,481.64421436244646
5,test,125000,52,-898.0769230769232,-1100,-390,0.05,1250000,1250000,-0.000110108,0,312492,4077.684869,246.61859100000038,506.855543587141
6,train,250000,104,-574.6153846153846,-1010,30,0.980434795652174,1500000,1500000,-0.000354351,0.00052428723114726779,374992,4604.179845000001,526.4923470000003,474.84071026772176
