epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,313,-0.11186897663917308,-0.2199999988079071,0.9300212077796459,1,46500000,0,0,0,0,5.712568,5.697908,8775.150458729766
187,train,250000,1570,-0.1061576809069723,-0.2199999988079071,1.3071069521829486,0.1,46750000,250000,0.00488007,2.3460679569191278e-06,62492,931.527452,925.814616,270.0324618767954
187,test,125000,780,-0.10750632533588655,-0.2199999988079071,1.254307514987886,0.05,46750000,250000,0.00488007,0,62492,1164.9333190000002,233.3918890000001,535.5798804130676
188,train,250000,1565,-0.10684773937141456,-0.2199999988079071,1.1244662292301655,0.1,47000000,500000,0.0060799,1.4932340979891901e-06,124992,2087.552037,922.6163949999998,270.9685209962046
188,test,125000,780,-0.1139137052548811,-0.2199999988079071,1.1260523023083806,0.05,47000000,500000,0.0060799,0,124992,2318.565955,231.00040099999978,541.1246017707134
189,train,250000,1567,-0.1036581200532361,-0.2199999988079071,1.215780765749514,0.1,47250000,750000,0.00443021,1.0855587745265883e-06,187492,3237.379159,918.81099,272.09078115184496
189,test,125000,785,-0.10464322886127199,-0.2199999988079071,1.2301021851599216,0.05,47250000,750000,0.00443021,0,187492,3466.999269,229.60706699999992,544.4083304282618
190,train,250000,1573,-0.0943861655809237,-0.2199999988079071,1.4987373324111104,0.1,47500000,1000000,0.00641576,1.238636171068739e-06,249992,4372.206766,905.2052900000003,276.18044521149443
190,test,125000,786,-0.09939265790876513,-0.2199999988079071,1.2775112874805927,0.05,47500000,1000000,0.00641576,0,249992,4602.537308,230.31666700000005,542.7310217197611
191,train,250000,1579,-0.09019584583733148,-0.2199999988079071,1.2963418308645487,0.1,47750000,1050000,0.00543454,1.4044145863445097e-06,312492,5512.080417,909.5408939999998,274.86394690902165
191,test,125000,780,-0.1133056941979495,-0.2199999988079071,1.3939225319772959,0.05,47750000,1050000,0.00543454,0,312492,5741.435733,229.34208500000022,545.0373401811529
192,train,250000,1562,-0.10783036070948579,-0.2199999988079071,1.355074593797326,0.1,48000000,1050000,0.00461053,1.7385620968156263e-06,374992,6643.558583,902.120653,277.12479386058357
192,test,125000,785,-0.10304712583844775,-0.2199999988079071,1.3517938014119864,0.05,48000000,1050000,0.00461053,0,374992,6872.302044,228.73044800000025,546.4947981040104
