epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,1500000,629,-67.75230633989811,-75.90000117570162,-56.90000105649233,1,0,0,0,0,0,207.11434200000002,207.11428800000002,7242.378179143295
1,train,250000,105,-67.10190585007267,-76.20000118017197,-23.700000412762165,0.7750009,250000,250000,0.00614867,0.0011779833195420856,62492,773.850135,566.7355170000001,441.12287389957237
1,test,125000,52,-86.10577054622658,-105.7000015899539,-60.60000094771385,0.05,250000,250000,0.00614867,0,62492,1018.130886,244.26501900000005,511.73925972592895
2,train,250000,105,-68.13333443460012,-89.30000136047602,-39.700000651180744,0.5500008999999999,500000,500000,0.00848247,0.00062482384227859089,124992,1691.313685,673.180418,371.3714679086224
2,test,125000,52,-55.79807778978004,-81.90000125020742,-29.600000455975533,0.05,500000,500000,0.00848247,0,124992,1934.567592,243.24004300000001,513.8956499855576
3,train,250000,105,-63.813334368382215,-86.70000135153532,-34.40000054240227,0.32500090000000004,750000,750000,0.00794521,0.00041496606499066623,187492,2714.988382,780.4184759999998,320.3409551262342
3,test,125000,52,-63.23653943851015,-91.40000142157078,-34.90000056475401,0.05,750000,750000,0.00794521,0,187492,2957.849009,242.847577,514.7261568106977
4,train,250000,105,-53.406667532310585,-84.60000133514404,-21.70000036805868,0.10000090000000006,1000000,1000000,0.0070414,0.00029820445356524905,249992,3840.9124890000003,883.0611050000002,283.1061164221472
4,test,125000,52,-78.99807816901463,-103.60000158846378,-57.80000098049641,0.05,1000000,1000000,0.0070414,0,249992,4084.140428,243.21494299999995,513.9486844770062
5,train,250000,105,-46.35809598948275,-78.50000118464231,-14.700000308454037,0.1,1250000,1250000,0.00561397,0.00021892154779700813,312492,5019.999568,935.8568220000002,267.13488016866745
5,test,125000,52,-31.201923614367843,-58.10000094026327,-10.100000314414501,0.05,1250000,1250000,0.00561397,0,312492,5261.238893,241.2256069999994,518.1871093809718
6,train,250000,105,-45.417143607991065,-71.90000111609697,-10.200000166893005,0.1,1500000,1500000,0.00852557,0.00017296397200858171,374992,6198.741752,937.5004609999996,266.6665355378424
6,test,125000,52,-38.19423141430779,-54.700000904500484,-13.000000298023224,0.05,1500000,1500000,0.00852557,0,374992,6440.011899,241.25511300000016,518.1237340242398
7,train,250000,105,-43.93238168720688,-82.6000012755394,-13.900000296533108,0.1,1750000,1500000,0.00757077,0.00014865460390447031,437492,7374.077138,934.0626259999999,267.6480067194124
7,test,125000,52,-38.41153911099985,-71.30000116676092,-9.400000289082527,0.05,1750000,1500000,0.00757077,0,437492,7615.606418,241.5147560000005,517.5667196086343
8,train,250000,105,-42.84000072663737,-80.400001257658,-18.80000039935112,0.1,2000000,1500000,0.00803716,0.00012290436017874717,499992,8554.396774,938.7879840000005,266.30080940618416
8,test,125000,52,-32.36730824711803,-57.90000090748072,-9.200000256299973,0.05,2000000,1500000,0.00803716,0,499992,8795.182734,240.77068899999904,519.1661847177772
9,train,250000,105,-42.44761976571313,-67.60000106692314,-16.800000369548798,0.1,2250000,1500000,0.00443759,0.00010810654104477976,562492,9730.616009,935.4307289999997,267.2565613353932
9,test,125000,52,-47.07307766492551,-71.70000108331442,-23.700000397861004,0.05,2250000,1500000,0.00443759,0,562492,9972.25839,241.62788100000034,517.3244059529695
10,train,250000,105,-43.633334072643805,-67.50000108033419,-22.600000381469727,0.1,2500000,1500000,0.00405989,9.5520557660061799e-05,624992,10904.597889,932.3368800000007,268.1434204340386
10,test,125000,52,-18.500000317795923,-37.800000593066216,-7.400000154972076,0.05,2500000,1500000,0.00405989,0,624992,11142.077659,237.46544300000096,526.3923812274425
11,train,250000,105,-48.96857224638971,-74.5000012293458,-16.80000026524067,0.1,2750000,1500000,0.00730716,8.0569330055143095e-05,687492,12071.797508,929.717419999999,268.89890909003327
11,test,125000,52,-45.90576995006547,-71.90000108629465,-22.700000397861004,0.05,2750000,1500000,0.00730716,0,687492,12311.099327,239.28670000000056,522.3859077834235
12,train,250000,105,-51.93809608895156,-76.40000116825104,-13.900000251829624,0.1,3000000,1500000,0.00684648,7.2841845065821522e-05,749992,13242.299004,931.1972619999997,268.471579762871
12,test,125000,52,-55.06538548005314,-81.20000125467777,-34.70000056177378,0.05,3000000,1500000,0.00684648,0,749992,13481.042243,238.72853600000053,523.6072825412028
13,train,250000,105,-53.53904848297435,-83.30000125616789,-34.90000054985285,0.1,3250000,1500000,0.041793,6.0447606688642885e-05,812492,14412.214078,931.1695140000011,268.479579970441
13,test,125000,52,-92.16153986608754,-105.60000157356262,-69.10000102967024,0.05,3250000,1500000,0.041793,0,812492,14653.918145,241.68878099999893,517.1940521310361
14,train,250000,105,-53.877143721850146,-70.8000010997057,-29.900000475347042,0.1,3500000,1500000,0.00771612,4.767802375096906e-05,874992,15592.210941,938.2904679999992,266.4420118568232
14,test,125000,52,-54.371154698471614,-80.90000125020742,-32.100000493228436,0.05,3500000,1500000,0.00771612,0,874992,15834.397343,242.1710350000012,516.1641234262362
15,train,250000,105,-54.27333420536347,-68.60000111162663,-21.700000382959843,0.1,3750000,1500000,0.00937207,3.9161980551936691e-05,937492,16771.10374,936.703825999999,266.89332642909505
15,test,125000,52,-72.69038574841731,-92.7000013962388,-56.40000092983246,0.05,3750000,1500000,0.00937207,0,937492,17013.254743,242.13526900000215,516.2403664540042
16,train,250000,105,-52.68666752257518,-71.10000116378069,-23.800000354647636,0.1,4000000,1500000,0.00820743,3.5353604259086478e-05,999992,17956.085438000002,942.8283230000015,265.1596201570618
16,test,125000,52,-40.236539112690565,-65.6000010073185,-17.40000030398369,0.05,4000000,1500000,0.00820743,0,999992,18198.543756,242.42140400000062,515.6310372659985
17,train,250000,105,-49.5342865152728,-71.50000111013651,-24.50000039488077,0.1,4250000,1500000,0.00962377,3.0332671860577969e-05,1062492,19138.293552,939.7463279999974,266.0292384776423
17,test,125000,52,-33.86346207372845,-65.40000097453594,-13.20000022649765,0.05,4250000,1500000,0.00962377,0,1062492,19380.51824,242.2089730000007,516.0832749164897
18,train,250000,105,-48.142857921549236,-67.70000106841326,-15.300000287592411,0.1,4500000,1500000,0.0114615,2.6819408198660127e-05,1124992,20309.900776,929.3800099999971,268.99653243026046
18,test,125000,52,-86.84423212062282,-96.80000145733356,-69.10000105947256,0.05,4500000,1500000,0.0114615,0,1124992,20546.753668,236.83772800000224,527.7875322296574
19,train,250000,105,-48.608572213919366,-71.40000109374523,-29.20000049471855,0.1,4750000,1500000,0.00789262,2.2466328486372544e-05,1187492,21467.25272,920.4966160000004,271.5925247899009
19,test,125000,52,-52.140385436753824,-66.50000100582838,-30.30000051110983,0.05,4750000,1500000,0.00789262,0,1187492,21703.978843,236.69569400000182,528.1042417273508
20,train,250000,105,-45.28857217282058,-70.40000104904175,-28.20000047981739,0.1,5000000,1500000,0.00410073,1.9971537310104733e-05,1249992,22622.159439,918.177886999998,272.2783934786708
20,test,125000,52,-27.4384620289963,-43.300000704824924,-14.200000256299973,0.05,5000000,1500000,0.00410073,0,1249992,22856.494168,234.31973199999993,533.4591284015297
21,train,250000,105,-46.3771436197417,-63.50000100582838,-12.500000230967999,0.1,5250000,1500000,0.00694151,1.7586699371490405e-05,1312492,23775.954316,919.4576479999996,271.8994186886138
21,test,125000,52,-48.86346231243358,-66.90000102669,-33.90000057965517,0.05,5250000,1500000,0.00694151,0,1312492,24010.842451,234.86700199999905,532.2161007530573
22,train,250000,105,-48.230476965364964,-64.40000095963478,-29.100000448524952,0.1,5500000,1500000,0.00684472,1.4878594741892674e-05,1374992,24927.104783,916.2599549999977,272.84833156328506
22,test,125000,52,-32.27115437574684,-50.5000007674098,-18.300000317394733,0.05,5500000,1500000,0.00684472,0,1374992,25161.42953,234.29938500000208,533.5054549972416
23,train,250000,105,-46.84381028470538,-63.40000097453594,-23.700000382959843,0.1,5750000,1500000,0.00528891,1.3026384228070054e-05,1437492,26080.151717,918.719731000001,272.11780869001467
23,test,125000,52,-43.476923792408066,-59.50000100582838,-27.50000048428774,0.05,5750000,1500000,0.00528891,0,1437492,26316.302359,236.136179000001,529.3555630880242
24,train,250000,105,-46.51809598604838,-66.90000101178885,-19.000000283122063,0.1,6000000,1500000,0.00413323,1.142911263782814e-05,1499992,27234.034852,917.7301299999999,272.4112370594175
24,test,125000,52,-32.72115438961638,-47.800000727176666,-20.600000336766243,0.05,6000000,1500000,0.00413323,0,1499992,27468.177813,234.12832299999718,533.895251964033
25,train,250000,105,-43.32857213438978,-56.50000090152025,-29.20000046491623,0.1,6250000,1500000,0.00863438,9.3068820209151287e-06,1562492,28386.17883,917.9986779999999,272.331546865256
