epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,18,-2111.0555555555557,-5246,-754,1,0,0,0,0,0,3.1100649999999996,3.1099439999999996,16077.45991567694
1,train,2,1,-6,9223372036854775807,-9223372036854775808,0.9999991,2,2,0,0,0,3.1107069999999997,0.0002779999999997784,7194.244604322281
1,test,100,1,39,9223372036854775807,-9223372036854775808,0.05,2,2,0,0,0,52.623265,49.499315,2.0202299769198824
2,train,2,1,0,9223372036854775807,-9223372036854775808,0.9999973,4,4,0,0,0,52.624199,0.0002349999999964325,8510.638298001539
2,test,100,1,-16,9223372036854775807,-9223372036854775808,0.05,4,4,0,0,0,100.344167,47.707201999999995,2.0961195754049884
3,train,2,1,0,9223372036854775807,-9223372036854775808,0.9999955,6,6,0,0,0,100.345877,0.00045099999999820284,4434.58980046113
3,test,100,1,35,9223372036854775807,-9223372036854775808,0.05,6,6,0,0,0,146.239874,45.880522,2.1795741556732944
4,train,2,1,0,9223372036854775807,-9223372036854775808,0.9999937,8,8,0,0,0,146.241707,0.00032300000000873297,6191.950464228873
4,test,100,1,96,9223372036854775807,-9223372036854775808,0.05,8,8,0,0,0,196.00264099999998,49.75070600000001,2.0100217271288567
5,train,2,1,10,9223372036854775807,-9223372036854775808,0.9999919,10,10,2.563e-06,0,0,196.003709,0.0002690000000029613,7434.944237836367
5,test,100,1,44,9223372036854775807,-9223372036854775808,0.05,10,10,2.563e-06,0,0,246.414933,49.81357400000002,2.0074849477774865
6,train,2,1,0,9223372036854775807,-9223372036854775808,0.9999901,12,12,3.3975e-06,0.0,1,249.314822,2.335236000000009,0.8564444878376285
6,test,100,1,48,9223372036854775807,-9223372036854775808,0.05,12,12,3.3975e-06,0,1,299.670858,49.71001899999999,2.011666903607501
7,train,2,1,-3,9223372036854775807,-9223372036854775808,0.9999883,14,14,3.5763e-06,0.0555419921875,2,302.697025,2.4468519999999785,0.8173767763640865
7,test,100,1,-8,9223372036854775807,-9223372036854775808,0.05,14,14,3.5763e-06,0,2,350.351522,47.06511999999998,2.1247157130375967
8,train,2,1,0,9223372036854775807,-9223372036854775808,0.9999865,16,16,3.9935e-06,0.0,3,353.126323,2.2165299999999775,0.9023112703189311
8,test,100,1,39,9223372036854775807,-9223372036854775808,0.05,16,16,3.9935e-06,0,3,402.14545100000004,48.414720000000045,2.0654875211505903
9,train,2,1,0,9223372036854775807,-9223372036854775808,0.9999847,18,18,3.3379e-06,0.013885498046875,4,404.997208,2.2778599999999756,0.8780170862125071
9,test,100,1,-87.0,-87,-87,0.05,18,18,3.3379e-06,0,4,455.276106,49.672972000000016,2.013167241130649
10,train,2,1,0,9223372036854775807,-9223372036854775808,0.9999829,20,20,3.2187e-06,0.0,5,457.984415,2.1439550000000054,0.9328554004165176
10,test,100,1,41,9223372036854775807,-9223372036854775808,0.05,20,20,3.2187e-06,0,5,508.45232500000003,49.889475000000004,2.004430794270735
11,train,2,1,0,9223372036854775807,-9223372036854775808,0.9999811,22,22,2.9206e-06,0.018513997395833332,6,511.440134,2.3975560000000087,0.834182809494332
