epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,1050000,438,-67.74406502397575,-76.50000113993883,-57.30000106245279,1,0,0,0,0,0,143.62446000000003,143.624409,7310.73504365125
1,train,250000,104,-65.27692413559326,-75.70000115782022,-36.300000570714474,0.7750009,250000,250000,0.0342634,0.0012390186103132361,62492,717.700377,574.075658,435.48266942891354
1,test,125000,52,-24.24615423123424,-48.70000074058771,-7.50000012665987,0.05,250000,250000,0.0342634,0,62492,961.6818989999999,243.966455,512.3655217271571
2,train,250000,104,-61.69711638550061,-75.80000114440918,-47.30000079423189,0.5500008999999999,500000,500000,0.0608651,0.00057596126292431919,124992,1645.459768,683.7755559999999,365.61704759156385
2,test,125000,52,-73.08461650690207,-99.10000153630972,-25.700000397861004,0.05,500000,500000,0.0608651,0,124992,1894.553639,249.080469,501.8458512698561
3,train,250000,104,-56.830770176477166,-75.80000118911266,-26.600000649690628,0.32500090000000004,750000,750000,0.100335,0.00037592994056874789,187492,2691.9106890000003,797.3546640000002,313.53676260680896
3,test,125000,52,-41.22500065900386,-63.300000958144665,-23.400000393390656,0.05,750000,750000,0.100335,0,187492,2938.1025830000003,246.178132,507.76240352656504
4,train,250000,104,-49.15384707685846,-76.30000125616789,-28.500000678002834,0.10000090000000006,1000000,1000000,0.139663,0.00031189855436793655,249992,3826.1693720000003,888.0644970000003,281.5110848868896
4,test,125000,52,-104.53654006625023,-112.00000168383121,-92.5000014230609,0.05,1000000,1000000,0.139663,0,249992,4104.474932,278.29202600000053,449.1684573096599
5,train,250000,104,-61.944231997888814,-83.70000144094229,-39.000000923871994,0.1,1250000,1050000,0.195411,0.00025948898807749926,312492,5268.140305,1163.6621370000003,214.8389915345333
5,test,125000,52,-92.72884772474379,-105.50000164657831,-72.50000152736902,0.05,1250000,1050000,0.195411,0,312492,5589.205633,321.0475669999996,389.35040426579576
6,train,250000,104,-48.6788474222502,-79.40000142157078,-12.700000993907452,0.1,1500000,1050000,0.342111,0.00027263815536285519,374992,6766.375091999999,1177.1658629999993,212.3744901698701
6,test,125000,52,-25.65961641889925,-48.000001043081284,-2.9000008776783943,0.05,1500000,1050000,0.342111,0,374992,7085.488796,319.0945549999997,391.73341582090023
7,train,250000,104,-34.22788582763707,-56.70000133663416,-16.600001081824303,0.1,1750000,1050000,0.401071,0.00032566868977678017,437492,8261.401844,1175.9095659999994,212.60138298764392
7,test,125000,52,-65.71923223395758,-86.20000156760216,-50.60000140964985,0.05,1750000,1050000,0.401071,0,437492,8580.218638,318.795834999999,392.10048023369063
8,train,250000,104,-16.05769342800172,-44.90000130981207,5.399998977780342,0.1,2000000,1050000,0.629511,0.00035255825512221659,499992,9749.754602,1169.532024,213.76071357580884
8,test,125000,52,-25.01730895715837,-38.80000130832195,-12.000001192092896,0.05,2000000,1050000,0.629511,0,499992,10071.607274,321.83350900000005,388.39958085284394
9,train,250000,104,3.2682682363889533,-14.600001066923141,17.79999914765358,0.1,2250000,1050000,0.909909,0.00038807239668322684,562492,11240.82363,1169.2128300000004,213.81907004903454
9,test,125000,52,6.21153744797294,-8.200001075863838,15.099998973309994,0.05,2250000,1050000,0.909909,0,562492,11562.183472,321.3400930000007,388.9959663390019
10,train,250000,104,9.214422083029952,-13.400001168251038,24.299999095499516,0.1,2500000,1050000,1.0715,0.00037536282515946036,624992,12737.831078000001,1175.6432600000007,212.6495413242958
