epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,1000000,6264,-0.11345655388149914,-0.2199999988079071,0.9204837046563625,1,0,0,0,0,0,110.92008399999999,110.920031,9015.504151815465
1,train,250000,1578,-0.09773820154699384,-0.2199999988079071,1.0047041093930602,0.7750009,250000,250000,0.0266056,6.1729641104107877e-06,62492,787.2207089999999,676.300288,369.65827818780997
1,test,125000,776,-0.125434466972515,-0.2199999988079071,1.2319778315722942,0.05,250000,250000,0.0266056,0,62492,1091.151348,303.9130190000001,411.3018929274628
2,train,250000,1569,-0.09011156335200009,-0.2199999988079071,1.003007173538208,0.5500008999999999,500000,500000,0.0337463,2.8776802097754664e-06,124992,1919.929712,828.775733,301.6497588497804
2,test,125000,769,-0.13204883211819135,-0.2199999988079071,1.1814414942637086,0.05,500000,500000,0.0337463,0,124992,2231.129868,311.18405600000006,401.69153139388345
3,train,250000,1559,-0.0969987344289482,-0.2199999988079071,1.3198076905682683,0.32500090000000004,750000,750000,0.0360806,2.2374475646769349e-06,187492,3180.508108,949.3753660000002,263.33103738864014
3,test,125000,773,-0.1251223290683691,-0.2199999988079071,1.1192239597439766,0.05,750000,750000,0.0360806,0,187492,3491.0871199999997,310.5614139999998,402.49687940949445
4,train,250000,1547,-0.11660002562808593,-0.2199999988079071,1.1709426790475845,0.10000090000000006,1000000,1000000,0.0411629,1.8477026979364795e-06,249992,4587.423006999999,1096.3332429999996,228.03285551745336
4,test,125000,768,-0.13509912750669176,-0.2199999988079071,1.173939062282443,0.05,1000000,1000000,0.0411629,0,249992,4898.131829,310.6823519999998,402.3402011582559
5,train,250000,1537,-0.13876152066750227,-0.2199999988079071,1.268558144569397,0.1,1250000,1000000,0.0395498,1.4234763656181415e-06,312492,6060.959377,1162.823144,214.99400084179956
5,test,125000,782,-0.11611103216695899,-0.2199999988079071,1.6344775315374136,0.05,1250000,1000000,0.0395498,0,312492,6376.0432869999995,315.0622399999993,396.74700465533505
6,train,250000,1558,-0.1176468671367663,-0.2199999988079071,1.1961422534659505,0.1,1500000,1000000,0.0367655,1.1681600297658263e-06,374992,7540.996337,1164.949858,214.6015112008366
6,test,125000,774,-0.12305960336998488,-0.2199999988079071,1.1888634162023664,0.05,1500000,1000000,0.0367655,0,374992,7854.191401,313.174763,399.13816427155723
7,train,250000,1538,-0.13030775733563385,-0.2199999988079071,1.2895239489153028,0.1,1750000,1000000,0.0351897,8.0942274727579389e-07,437492,9016.426422,1162.2320249999993,215.10334823203667
7,test,125000,774,-0.12475781597904585,-0.2199999988079071,1.38879329059273,0.05,1750000,1000000,0.0351897,0,437492,9334.276065,317.82964099999845,393.2924556901243
8,train,250000,1555,-0.1151475910852002,-0.2199999988079071,1.2133249389007688,0.1,2000000,1000000,0.0356577,8.2964320752765938e-07,499992,10494.650262000001,1160.3707809999996,215.448375720519
8,test,125000,774,-0.1199188329909932,-0.2199999988079071,1.1622743159532547,0.05,2000000,1000000,0.0356577,0,499992,10812.822071,318.15107999999964,392.89509876879924
9,train,250000,1538,-0.11837410401572297,-0.2199999988079071,1.1786411022767425,0.1,2250000,1000000,0.0339081,6.1691505958713356e-07,562492,11976.211147,1163.3861789999992,214.88995186008668
9,test,125000,772,-0.1295518484895501,-0.2199999988079071,1.0778551707044244,0.05,2250000,1000000,0.0339081,0,562492,12292.157408000001,315.92667000000074,395.661436244049
10,train,250000,1549,-0.11466255999279071,-0.2199999988079071,1.2431212803348899,0.1,2500000,1000000,0.0303838,5.697007819382512e-07,624992,13454.317615,1162.1563509999996,215.1173547215766
10,test,125000,776,-0.10832145101554004,-0.2199999988079071,1.3554154066368937,0.05,2500000,1000000,0.0303838,0,624992,13775.365667,321.02850099999887,389.3735279286011
11,train,250000,1551,-0.10931941872999455,-0.2199999988079071,1.2498182784765959,0.1,2750000,1000000,0.0254636,4.835269027850119e-07,687492,14941.631044000002,1166.262455,214.35998297655908
11,test,125000,775,-0.11753547570638108,-0.2199999988079071,1.3204713631421328,0.05,2750000,1000000,0.0254636,0,687492,15264.235519,322.5857339999984,387.4938871289349
12,train,250000,1550,-0.11180962616337414,-0.2199999988079071,1.2232492482289672,0.1,3000000,1000000,0.0269198,3.747285202026295e-07,749992,16427.292342,1163.0532459999995,214.95146577321887
12,test,125000,773,-0.11106641437704122,-0.2199999988079071,1.2549780504778028,0.05,3000000,1000000,0.0269198,0,749992,16752.455894000002,325.1423840000025,384.4469566293118
13,train,250000,1561,-0.10387298959909361,-0.2199999988079071,1.320716505870223,0.1,3250000,1000000,0.0236783,2.4472630300633398e-07,812492,17915.608133,1163.1489890000012,214.9337723406642
13,test,125000,779,-0.11222840844150227,-0.2199999988079071,1.093575682491064,0.05,3250000,1000000,0.0236783,0,812492,18244.136752000002,328.50914300000295,380.5069133189967
14,train,250000,1549,-0.10524402400902591,-0.2199999988079071,1.3283158633857965,0.1,3500000,1000000,0.0213813,2.0982983273927645e-07,874992,19402.93431,1158.7935829999988,215.74161582149551
14,test,125000,778,-0.11119186021219983,-0.2199999988079071,1.2054933523759246,0.05,3500000,1000000,0.0213813,0,874992,19735.592749,332.6395789999988,375.7821013836735
15,train,250000,1551,-0.10681621437780645,-0.2199999988079071,1.1766848908737302,0.1,3750000,1000000,0.0222351,4.0399304348218418e-07,937492,20897.042367000002,1161.4463560000004,215.24885648700587
15,test,125000,784,-0.10823295241440366,-0.2199999988079071,1.1484425030648708,0.05,3750000,1000000,0.0222351,0,937492,21227.021507,329.9584040000009,378.835630445102
16,train,250000,1554,-0.10768925737675898,-0.2199999988079071,1.2145634032785892,0.1,4000000,1000000,0.0194732,2.1622011525228017e-07,999992,22390.924115,1163.8992780000008,214.79521873197677
16,test,125000,778,-0.1098620139354492,-0.2199999988079071,1.1546370899304748,0.05,4000000,1000000,0.0194732,0,999992,22711.301581,320.35312899999917,390.19440949490564
17,train,250000,1552,-0.11364099214371957,-0.2199999988079071,1.1216611070558429,0.1,4250000,1000000,0.0173137,2.3575436249147244e-07,1062492,23875.526317,1164.2204390000006,214.7359654798157
17,test,125000,780,-0.10914104380286659,-0.2199999988079071,1.395841246470809,0.05,4250000,1000000,0.0173137,0,1062492,24201.768271,326.22482200000013,383.1713332960297
18,train,250000,1562,-0.09635702590845663,-0.2199999988079071,1.672829574905336,0.1,4500000,1000000,0.0169964,2.4325144578844861e-07,1124992,25372.074666,1170.3025759999982,213.6199689950955
18,test,125000,783,-0.09556994050155998,-0.2199999988079071,1.178315599448979,0.05,4500000,1000000,0.0169964,0,1124992,25686.341146000002,314.24610700000267,397.7774019011123
19,train,250000,1563,-0.09917325007664274,-0.2199999988079071,1.3068880420178175,0.1,4750000,1000000,0.0156144,2.6089800136177991e-07,1187492,26855.474787,1169.1305719999982,213.83411398808275
19,test,125000,778,-0.09769335687687208,-0.2199999988079071,1.3785366797819734,0.05,4750000,1000000,0.0156144,0,1187492,27151.663185,296.1607120000008,422.0681371133375
20,train,250000,1566,-0.094888351485371,-0.2199999988079071,1.4239572426304221,0.1,5000000,1000000,0.0142915,1.0005137764371345e-07,1249992,28321.832152,1170.1651749999983,213.6450522893064
20,test,125000,771,-0.11828373397921535,-0.2199999988079071,1.1308329766616225,0.05,5000000,1000000,0.0142915,0,1249992,28619.498589000003,297.64997700000094,419.95635699309867
21,train,250000,1571,-0.090291768144093,-0.2199999988079071,1.170030784793198,0.1,5250000,1000000,0.0128453,1.6947200834731924e-07,1312492,29790.596391,1171.0945159999974,213.47551080155563
21,test,125000,779,-0.0961120890080451,-0.2199999988079071,1.3561027199029922,0.05,5250000,1000000,0.0128453,0,1312492,30088.941693,298.32827199999883,419.00152192079366
22,train,250000,1566,-0.09574616008996018,-0.2199999988079071,1.3071578284725547,0.1,5500000,1000000,0.0121198,1.5853549806701268e-07,1374992,31260.312356000002,1171.3677720000014,213.42571135720107
22,test,125000,783,-0.10164745659050013,-0.2199999988079071,1.1326288674026728,0.05,5500000,1000000,0.0121198,0,1374992,31557.847574,297.5170249999974,420.1440236907488
23,train,250000,1557,-0.09444484598791107,-0.2199999988079071,1.229737182147801,0.1,5750000,1000000,0.0118439,6.5136507062791857e-08,1437492,32731.172737,1173.3223800000014,213.07017087665173
23,test,125000,786,-0.092546265810176,-0.2199999988079071,1.2575194984674454,0.05,5750000,1000000,0.0118439,0,1437492,33030.843822999996,299.65409,417.1476518141301
24,train,250000,1558,-0.09809264547905278,-0.2199999988079071,1.240359153598547,0.1,6000000,1000000,0.011539,1.3930975664444176e-07,1499992,34203.04236399999,1172.1953249999933,213.27503588192644
24,test,125000,779,-0.09880251324686559,-0.2199999988079071,1.171889922581613,0.05,6000000,1000000,0.011539,0,1499992,34504.753354,301.69289300000673,414.32861993204864
25,train,250000,1552,-0.1030815759896944,-0.2199999988079071,1.2359440363943577,0.1,6250000,1000000,0.0101444,9.2543181165517562e-08,1562492,35678.268281,1173.512238000003,213.0356990789212
25,test,125000,781,-0.10046270339679397,-0.2199999988079071,1.2752106403931975,0.05,6250000,1000000,0.0101444,0,1562492,35977.749268,299.4641730000003,417.41220242729963
26,train,250000,1567,-0.09147079495906874,-0.2199999988079071,1.5082524446770549,0.1,6500000,1000000,0.00962306,1.1614593938755542e-07,1624992,37150.127403,1172.3747460000013,213.2423961305626
26,test,125000,780,-0.10656820563002449,-0.2199999988079071,1.205588437616825,0.05,6500000,1000000,0.00962306,0,1624992,37449.824175999995,299.6789480000007,417.1130499296858
27,train,250000,1565,-0.0964744555427671,-0.2199999988079071,1.2498121885582805,0.1,6750000,1000000,0.00980885,1.9841852110225102e-07,1687492,38619.459788,1169.6327170000004,213.7423110403639
27,test,125000,789,-0.08050151385428304,-0.2199999988079071,1.3217826215550303,0.05,6750000,1000000,0.00980885,0,1687492,38915.777292,296.29853100000037,421.87181819001273
28,train,250000,1567,-0.09599159566546489,-0.2199999988079071,1.2822408294305205,0.1,7000000,1000000,0.00886663,1.290438091873761e-07,1749992,40088.964327999995,1173.1840200000006,213.09529940579984
28,test,125000,774,-0.10160772726709826,-0.2199999988079071,1.150476273149252,0.05,7000000,1000000,0.00886663,0,1749992,40387.893855999995,298.9116619999986,418.1837508902566
29,train,250000,1557,-0.09749310239718825,-0.2199999988079071,1.2044583270326257,0.1,7250000,1000000,0.00878644,8.3873084800013698e-08,1812492,41557.402511,1169.5057850000012,213.76550950536748
29,test,125000,775,-0.09907120927447277,-0.2199999988079071,1.44524878077209,0.05,7250000,1000000,0.00878644,0,1812492,41854.114248,296.6880470000033,421.3179508374283
30,train,250000,1566,-0.09145631438054587,-0.2199999988079071,1.216581154614687,0.1,7500000,1000000,0.00856085,1.4346658479742781e-07,1874992,43024.318032999996,1170.2005869999994,213.63858707413223
30,test,125000,776,-0.10392626453450267,-0.2199999988079071,1.0405536098405719,0.05,7500000,1000000,0.00856085,0,1874992,43322.509954999994,298.1736579999997,419.2187896088397
31,train,250000,1575,-0.0804556127921456,-0.2199999988079071,1.1308918418362737,0.1,7750000,1000000,0.00829536,1.2427107648029939e-07,1937492,44494.46986999999,1171.9565349999975,213.3184913722082
31,test,125000,790,-0.10195134307458231,-0.2199999988079071,1.0906304400414228,0.05,7750000,1000000,0.00829536,0,1937492,44789.96831,295.4808980000016,423.03919084474734
32,train,250000,1572,-0.0900258148277448,-0.2199999988079071,1.2014340087771416,0.1,8000000,1000000,0.00734174,9.6779515765315971e-08,1999992,45962.358155999995,1172.387118999999,213.24014563827717
32,test,125000,788,-0.0870149523093069,-0.2199999988079071,1.1819091271609068,0.05,8000000,1000000,0.00734174,0,1999992,46260.294329,297.918058999996,419.5784586526246
33,train,250000,1575,-0.0876159843950282,-0.2199999988079071,1.1351588582620025,0.1,8250000,1000000,0.00764128,1.6704803822794523e-07,2062492,47435.018011,1174.7199910000054,212.81667283722837
33,test,125000,783,-0.09808371129587283,-0.2199999988079071,1.3289754940196872,0.05,8250000,1000000,0.00764128,0,2062492,47731.789332,296.7552550000037,421.2225323524547
34,train,250000,1576,-0.09078689942994456,-0.2199999988079071,1.2051487574353814,0.1,8500000,1000000,0.00737857,8.9946281965563936e-08,2124992,48903.022357999995,1171.2296239999996,213.45088518696832
34,test,125000,783,-0.10050937229122771,-0.2199999988079071,1.2371466709300876,0.05,8500000,1000000,0.00737857,0,2124992,49200.382184999995,297.3390519999957,420.39550189997175
35,train,250000,1569,-0.09318542688102055,-0.2199999988079071,1.3544122381135821,0.1,8750000,1000000,0.00620027,1.0727158299735716e-07,2187492,50373.08397,1172.6988850000052,213.18345501795108
35,test,125000,786,-0.09390596146091021,-0.2199999988079071,1.146558959968388,0.05,8750000,1000000,0.00620027,0,2187492,50669.176416999995,296.0743699999948,422.1912217528393
36,train,250000,1554,-0.10235287656856534,-0.2199999988079071,1.2832490177825093,0.1,9000000,1000000,0.00718629,7.6406547521968902e-08,2249992,51837.517092999995,1168.337406999999,213.97928244199426
36,test,125000,786,-0.09207370297144393,-0.2199999988079071,1.2007799232378602,0.05,9000000,1000000,0.00718629,0,2249992,52133.908569,296.3748990000022,421.76311294162286
37,train,250000,1561,-0.0926074894122161,-0.2199999988079071,1.4467681488022208,0.1,9250000,1000000,0.00650953,9.2683266038697543e-08,2312492,53303.164316999995,1169.2525509999978,213.8118063425978
37,test,125000,779,-0.10169543176907353,-0.2199999988079071,1.170366432517767,0.05,9250000,1000000,0.00650953,0,2312492,53599.518641999995,296.3355169999995,421.81916385000926
38,train,250000,1568,-0.08826450674618791,-0.2199999988079071,1.5354837980121374,0.1,9500000,1000000,0.00626792,1.2145135050471307e-07,2374992,54771.490711,1171.9691349999994,213.3161979560154
38,test,125000,776,-0.1099629354622388,-0.2199999988079071,1.0550828883424401,0.05,9500000,1000000,0.00626792,0,2374992,55062.69227399999,291.17794899999717,429.2907496233556
39,train,250000,1579,-0.08049317225613337,-0.2199999988079071,1.1581940818578005,0.1,9750000,1000000,0.00690599,1.6096647619133915e-07,2437492,56234.089232,1171.393240999998,213.4210709518687
39,test,125000,787,-0.09190129357469393,-0.2199999988079071,1.2387362951412797,0.05,9750000,1000000,0.00690599,0,2437492,56533.083178999994,298.9771419999961,418.0921630457008
40,train,250000,1575,-0.07994044197575446,-0.2199999988079071,1.1282105445861816,0.1,10000000,1000000,0.0065583,1.142156512229781e-07,2499992,57704.473157,1171.3867400000017,213.42225540302738
40,test,125000,786,-0.09795042374509011,-0.2199999988079071,1.2422098750248551,0.05,10000000,1000000,0.0065583,0,2499992,58000.464202999996,295.9724619999979,422.336588868193
41,train,250000,1573,-0.08028978011490945,-0.2199999988079071,1.4045679653063416,0.1,10250000,1000000,0.00635811,1.4940074389142591e-07,2562492,59169.001994,1168.5350800000015,213.94308504627836
41,test,125000,777,-0.11013923177047318,-0.2199999988079071,1.4335753358900547,0.05,10250000,1000000,0.00635811,0,2562492,59462.552376,293.5330790000007,425.846383057903
42,train,250000,1578,-0.08668106815250089,-0.2199999988079071,1.3823403595015407,0.1,10500000,1000000,0.0055652,1.5709962937839823e-07,2624992,60633.979333999996,1171.4240139999965,213.41546443660386
42,test,125000,782,-0.0902366585091062,-0.2199999988079071,1.210023283958435,0.05,10500000,1000000,0.0055652,0,2624992,60930.64069,296.64516300000105,421.37885794550965
43,train,250000,1572,-0.08328703310726913,-0.2199999988079071,1.2483293190598488,0.1,10750000,1000000,0.0055078,1.1961289138881618e-07,2687492,62097.457795999995,1166.8134789999967,214.25875214799495
