epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,1050000,1634,-3.1964504283965685,-4.0,2.0,1,0,0,0,0,0,44.175912000000004,44.175844,23768.64605009018
1,train,250000,389,-3.1953727506426746,-4.0,0.0,0.7750009,250000,250000,0.0275908,0.003035724408192904,62492,697.427907,653.251731,382.70086114781384
1,test,125000,193,-3.352331606217616,-4.0,0.0,0.05,250000,250000,0.0275908,0,62492,1053.309763,355.86539600000003,351.2564059473768
2,train,250000,389,-3.2339331619537286,-4.0,0.0,0.5500008999999999,500000,500000,0.0282368,0.0015518121606498889,124992,1872.2708329999998,818.9576599999998,305.2660866497055
2,test,125000,194,-3.345360824742267,-4.0,0.0,0.05,500000,500000,0.0282368,0,124992,2203.091683,330.80488000000014,377.86625154985603
3,train,250000,389,-3.226221079691515,-4.0,0.0,0.32500090000000004,750000,750000,0.0336483,0.0010336168395712994,187492,3145.6363029999998,942.541318,265.24036159017487
3,test,125000,193,-3.3989637305699474,-4.0,0.0,0.05,750000,750000,0.0336483,0,187492,3440.327396,294.67569000000003,424.1951550194045
4,train,250000,387,-3.2894056847545206,-4.0,0.0,0.10000090000000006,1000000,1000000,0.0355036,0.00076947307714903533,249992,4532.691363000001,1092.3609550000006,228.86207975091884
4,test,125000,193,-3.2797927461139906,-4.0,0.0,0.05,1000000,1000000,0.0355036,0,249992,4835.975213000001,303.2678219999998,412.17693052842276
5,train,250000,391,-3.2352941176470598,-4.0,0.0,0.1,1250000,1050000,0.0462432,0.00062735746390916633,312492,5979.877706,1143.8988929999996,218.5507841032591
5,test,125000,196,-3.1989795918367343,-4.0,0.0,0.05,1250000,1050000,0.0462432,0,312492,6276.844584,296.9509429999998,420.94495049305186
6,train,250000,398,-3.0653266331658284,-4.0,1.0,0.1,1500000,1050000,0.0242432,0.00052547507303107356,374992,7431.667392,1154.8199990000003,216.48395439677518
6,test,125000,195,-3.153846153846151,-4.0,0.0,0.05,1500000,1050000,0.0242432,0,374992,7725.464713,293.7825780000003,425.48472700787545
7,train,250000,394,-3.1142131979695424,-4.0,2.0,0.1,1750000,1050000,0.0149694,0.00045383075421686253,437492,8908.811552,1183.34364,211.2657655387407
7,test,125000,194,-3.3092783505154633,-4.0,0.0,0.05,1750000,1050000,0.0149694,0,437492,9231.038154,322.2117670000007,387.94362218310835
8,train,250000,398,-3.1030150753768844,-4.0,2.0,0.1,2000000,1050000,0.0102258,0.0003970511264196169,499992,10382.089691,1151.0480819999993,217.19335960806558
8,test,125000,195,-3.2923076923076926,-4.0,0.0,0.05,2000000,1050000,0.0102258,0,499992,10673.004584999999,290.8997810000001,429.7012516485874
