epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,62,-62.616130052554986,-72.20000112056732,-54.10000094026327,1,0,0,0,0,0,7.5168989999999996,7.516839999999999,6651.731312626051
1,train,250000,315,-64.59206454614322,-80.50000121444464,-5.4000000804662704,0.7750009,250000,250000,0.0829855,0.002176468707379837,62492,647.424375,639.9072150000001,390.6816396811528
1,test,125000,157,-92.64140271765604,-114.80000172555447,-63.10000101476908,0.05,250000,250000,0.0829855,0,62492,1030.6072909999998,383.15195199999994,326.2413237033437
2,train,250000,315,-60.03428681724601,-78.50000119954348,-26.900000922381878,0.5500008999999999,500000,500000,0.23657,0.0011885139051879031,124992,1802.6803579999998,772.070604,323.80458303266784
2,test,125000,157,-69.00700770987636,-95.40000163018703,-45.400001123547554,0.05,500000,500000,0.23657,0,124992,2092.058644,289.3597910000001,431.9881472405403
3,train,250000,315,-47.68476293141405,-67.90000125020742,-17.10000091046095,0.32500090000000004,750000,750000,0.490116,0.0010996095400096781,187492,2986.850788,894.7893100000001,279.3953807964022
3,test,125000,157,-49.06751688707405,-80.90000132471323,-21.60000066459179,0.05,750000,750000,0.490116,0,187492,3272.434123,285.5654279999999,437.72805719325396
4,train,250000,315,-45.43111214377574,-86.50000139325857,-18.100000746548176,0.10000090000000006,1000000,1000000,0.75097,0.0011362265027790907,249992,4291.0643709999995,1018.6272869999998,245.42833594835759
4,test,125000,157,-39.6146505541008,-75.40000134706497,-12.600000560283661,0.05,1000000,1000000,0.75097,0,249992,4575.668293,284.58582600000045,439.2348057418707
5,train,250000,315,-41.76857243130603,-68.60000129044056,-11.800000667572021,0.1,1250000,1000000,0.879241,0.0011970129088555491,312492,5655.267108,1079.5959440000006,231.56811711771294
5,test,125000,157,-28.596179155787084,-57.40000106394291,-5.1000005677342415,0.05,1250000,1000000,0.879241,0,312492,5940.188212,284.90277200000037,438.7461698687854
6,train,250000,314,-33.16592454438092,-57.600001245737076,-5.500000633299351,0.1,1500000,1000000,1.21067,0.0013267285847417395,374992,7017.520837,1077.3300690000005,232.0551585755469
6,test,125000,157,-52.90063818188227,-90.40000160038471,-24.50000088661909,0.05,1500000,1000000,1.21067,0,374992,7304.221173999999,286.68174799999997,436.0235727319481
7,train,250000,314,-19.382803506200098,-68.40000134706497,6.99999912083149,0.1,1750000,1000000,1.74459,0.0014586984073907551,437492,8381.503413999999,1077.2795459999988,232.0660416586061
7,test,125000,157,1.464330477841719,-25.400001049041748,20.09999943524599,0.05,1750000,1000000,1.74459,0,437492,8664.638133,283.1166110000013,441.5141858278299
8,train,250000,315,-7.501270665086449,-50.70000121742487,18.299999423325062,0.1,2000000,1000000,2.3799,0.0013435679729150386,499992,9741.468128,1076.8274200000014,232.1634788980389
8,test,125000,157,-13.924204678339944,-57.200001269578934,12.199999272823334,0.05,2000000,1000000,2.3799,0,499992,10025.586229999999,284.0989379999992,439.98756517703123
9,train,250000,314,1.909553323296985,-30.100000999867916,23.599999353289604,0.1,2250000,1000000,2.80969,0.0012725941248577289,562492,11101.374646,1075.785734000001,232.38828337167723
9,test,125000,157,12.547770069757847,-9.300000704824924,24.69999945908785,0.05,2250000,1000000,2.80969,0,562492,11383.892407,282.4989150000001,442.4795755410245
10,train,250000,315,6.077142088824795,-19.100000984966755,25.699999399483204,0.1,2500000,1000000,3.21326,0.0012703427435468196,624992,12459.479425,1075.5843289999993,232.43179847407404
10,test,125000,157,11.194266907396209,-18.30000103265047,28.99999937415123,0.05,2500000,1000000,3.21326,0,624992,12742.456707,282.95908299999974,441.7599840751538
11,train,250000,314,6.823884575776041,-27.300001047551632,31.799999356269836,0.1,2750000,1000000,3.65233,0.0013541688710493798,687492,13818.201592,1075.742284,232.39766970059904
11,test,125000,157,-15.58280340458747,-48.30000112205744,12.49999938160181,0.05,2750000,1000000,3.65233,0,687492,14102.943342,284.7231190000002,439.0230074713389
12,train,250000,315,9.718729398127588,-33.5000012293458,35.39999942481518,0.1,3000000,1000000,4.13659,0.0015011035808387115,749992,15179.732957,1076.7869339999997,232.17220798854908
12,test,125000,157,15.6082797358465,0.399999275803566,28.29999952763319,0.05,3000000,1000000,4.13659,0,749992,15462.268884,282.5169370000003,442.4513493858241
13,train,250000,314,13.269744521469626,-10.800001010298729,28.59999944269657,0.1,3250000,1000000,4.68427,0.0016245669168707243,812492,16537.872537000003,1075.6011560000006,232.42816224715907
13,test,125000,157,19.25031774918176,-4.4000008553266525,39.199999421834946,0.05,3250000,1000000,4.68427,0,812492,16820.886399000003,282.99572900000203,441.7027791963571
14,train,250000,314,10.600954649103874,-14.000000983476639,27.69999935477972,0.1,3500000,1000000,5.07639,0.0016191179042790839,874992,17896.509835,1075.6207780000004,232.42392217901158
14,test,125000,157,-1.687262116296656,-27.3000011369586,15.099999152123928,0.05,3500000,1000000,5.07639,0,874992,18181.401976,284.87388799999826,438.79065532324523
15,train,250000,314,10.532801758497955,-11.600000962615013,26.599999353289604,0.1,3750000,1000000,5.29001,0.0015991628950569581,937492,19257.300151000003,1075.8956390000021,232.36454442027858
15,test,125000,157,17.543311402723667,-3.900000847876072,29.799999326467514,0.05,3750000,1000000,5.29001,0,937492,19540.389318,283.0709879999995,441.5853453692691
16,train,250000,314,14.403183971952869,-14.300000883638859,34.2999994084239,0.1,4000000,1000000,5.47365,0.0016407266889381688,999992,20615.533944000003,1075.141845000002,232.52745780720642
16,test,125000,157,8.994266748855456,-14.400000914931297,21.599999263882637,0.05,4000000,1000000,5.47365,0,999992,20898.69656,283.143759999999,441.47185161347164
17,train,250000,314,11.37133679401343,-17.200000897049904,26.599999397993088,0.1,4250000,1000000,5.8505,0.0016259153941812266,1062492,21974.842962000002,1076.1440580000017,232.31090497737023
17,test,125000,157,14.664967369691588,-6.700000889599323,26.199999272823334,0.05,4250000,1000000,5.8505,0,1062492,22258.270428,283.40869499999826,441.0591566359697
18,train,250000,314,15.477387820151,-4.800000876188278,35.699999414384365,0.1,4500000,1000000,6.09854,0.0015989694877858261,1124992,23334.728601000003,1076.4554320000025,232.24370704833734
18,test,125000,157,16.983438794495193,-2.2000008523464203,28.999999314546585,0.05,4500000,1000000,6.09854,0,1124992,23617.59616,282.84951100000035,441.9311158010093
19,train,250000,315,12.227618275582788,-6.300000987946987,30.79999938607216,0.1,4750000,1000000,6.33524,0.0016387206226218009,1187492,24692.939003000003,1075.3405170000005,232.48449774537778
19,test,125000,157,19.258597941725103,-0.10000086575746536,32.29999936372042,0.05,4750000,1000000,6.33524,0,1187492,24976.804683000002,283.847518999999,440.37728580604727
20,train,250000,315,13.60190400339309,-9.700000993907452,32.799999356269836,0.1,5000000,1000000,6.70685,0.0017075608122569075,1249992,26052.728774000003,1075.9215110000005,232.3589568979255
20,test,125000,157,10.33184645334436,-9.90000069886446,24.39999932050705,0.05,5000000,1000000,6.70685,0,1249992,26335.274311,282.5272100000002,442.4352613682764
21,train,250000,314,9.189489639512475,-25.900001160800457,26.599999323487282,0.1,5250000,1000000,6.83218,0.0016693158532132266,1312492,27411.454649000003,1076.1776180000015,232.30366049110646
21,test,125000,157,6.844585071703434,-22.80000114440918,29.399999246001244,0.05,5250000,1000000,6.83218,0,1312492,27696.495281000003,285.02166000000216,438.5631604278743
22,train,250000,315,15.285713539662815,-10.700001038610935,31.599999368190765,0.1,5500000,1000000,7.03413,0.0016877080664993848,1374992,28771.776509000003,1075.278462000002,232.49791457275512
22,test,125000,157,19.21719689643497,-2.8000008016824722,32.99999949336052,0.05,5500000,1000000,7.03413,0,1374992,29054.448187,282.65292000000045,442.2384881076049
23,train,250000,314,12.857005613126384,-14.300000928342342,31.699999384582043,0.1,5750000,1000000,7.17121,0.0015710773206586758,1437492,30130.512326,1076.0617899999997,232.32866581016697
23,test,125000,157,20.703184031282262,-6.000000908970833,35.899999372661114,0.05,5750000,1000000,7.17121,0,1437492,30414.150235,283.6198699999986,440.7307569811685
24,train,250000,314,14.678661677464374,-3.5000008270144463,30.699999414384365,0.1,6000000,1000000,7.3457,0.001592006616490888,1499992,31490.755079000002,1076.6019430000015,232.21210181300933
24,test,125000,157,23.17706939018077,-0.5000008121132851,32.39999935030937,0.05,6000000,1000000,7.3457,0,1499992,31781.272213,290.49876799999765,430.29442383039986
