epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
1,train,250000,105,-68.7685725501,-78.3000012264,-9.800000146,0.7750009,250000,250000,0.0476533,0.0013134239,62492,655.430642,647.833831,385.9014272442
1,test,125000,52,-26.1788465717,-49.9000007585,-9.200000152,0.05,250000,250000,0.0476533,0,62492,947.046093,291.596054,428.675211085
2,train,250000,104,-67.0567318908,-83.5000013337,-49.8000008911,0.5500009,500000,500000,0.0868676,0.0006898002,124992,1726.961425,779.912166,320.5489167866
2,test,125000,52,-54.6384623948,-72.6000010967,-23.300000377,0.05,500000,500000,0.0868676,0,124992,2016.027219,289.047765,432.4544768578
3,train,250000,104,-69.00000125,-93.9000014737,-46.5000008121,0.3250009,750000,750000,0.179562,0.0004599553,187492,2917.27731,901.24746,277.3932921819
3,test,125000,52,-123.8288480564,-129.9000019506,-117.5000018552,0.05,750000,750000,0.179562,0,187492,3211.651639,294.356168,424.6556165251
4,train,250000,104,-67.4798091089,-96.5000015572,-41.8000011891,0.1000009,1000000,1000000,0.235147,0.0003327689,249992,4240.279092,1028.624781,243.0429488165
4,test,125000,52,-94.5923094079,-114.9000018463,-66.1000016555,0.05,1000000,1000000,0.235147,0,249992,4521.025092,280.720567,445.2826571841
5,train,250000,104,-40.1490398029,-77.5000015572,-3.3000010774,0.1,1250000,1000000,0.488287,0.0003165125,312492,5565.267997,1044.239843,239.4086010756
5,test,125000,52,-47.0961553033,-71.8000015616,-25.4000013769,0.05,1250000,1000000,0.488287,0,312492,5857.526537,292.229148,427.7465162373
6,train,250000,104,-21.9923089058,-45.800001353,0.3999989331,0.1,1500000,1000000,0.704005,0.0003753439,374992,6943.442127,1085.912946,230.2210328377
6,test,125000,52,-39.2942321548,-73.3000015542,-10.7000012919,0.05,1500000,1000000,0.704005,0,374992,7237.17664,293.716601,425.5803028308
7,train,250000,104,-2.9038472455,-25.600001201,31.7999991477,0.1,1750000,1000000,0.930274,0.0003928672,437492,8426.0692,1188.887672,210.2805890648
7,test,125000,52,27.7846146948,5.0999992117,47.5999993682,0.05,1750000,1000000,0.930274,0,437492,8770.989943,344.886495,362.4380827089
8,train,250000,104,7.344229776,-17.9000011459,25.199999094,0.1,2000000,1000000,0.996263,0.0003562172,499992,10124.255578,1353.262775,184.7386957053
8,test,125000,52,-25.2346167705,-67.8000015914,6.6999987587,0.05,2000000,1000000,0.996263,0,499992,10491.22278,366.93467,340.6600962509
9,train,250000,104,25.6423068601,-11.3000011221,40.4999993816,0.1,2250000,1000000,1.29762,0.0003259709,562492,11780.505055,1289.27935,193.9067743542
9,test,125000,52,36.5423069608,30.5999992043,44.7999993265,0.05,2250000,1000000,1.29762,0,562492,12133.226554,352.698753,354.410099091
10,train,250000,104,33.47115312,6.9999990761,44.0999993756,0.1,2500000,1000000,1.48642,0.0002830816,624992,13219.914003,1086.684712,230.0575293269
10,test,125000,52,46.4288455501,37.5999993384,52.8999994174,0.05,2500000,1000000,1.48642,0,624992,13501.919115,281.987283,443.2824014975
11,train,250000,104,39.413460895,29.1999991983,49.7999994308,0.1,2750000,1000000,1.77209,0.000241116,687492,14574.962377,1073.040668,232.9827819722
11,test,125000,52,45.8153840117,20.1999993324,51.2999994084,0.05,2750000,1000000,1.77209,0,687492,14857.46907,282.488464,442.4959456043
12,train,250000,104,41.4932686047,30.7999994159,51.799999401,0.1,3000000,1000000,1.74064,0.0002107281,749992,15930.615027,1073.143354,232.9604885202
12,test,125000,52,49.1788456272,39.0999994352,56.099999465,0.05,3000000,1000000,1.74064,0,749992,16213.067521,282.434434,442.5805955374
13,train,250000,104,45.1701917133,36.4999992922,53.7999994904,0.1,3250000,1000000,1.93967,0.0002039882,812492,17286.999078,1073.928871,232.7900913654
13,test,125000,52,50.2903840274,45.1999993771,55.2999994233,0.05,3250000,1000000,1.93967,0,812492,17569.074189,282.057377,443.1722415117
14,train,250000,104,48.3451917639,37.6999994591,55.899999477,0.1,3500000,1000000,2.18604,0.0001926265,874992,18558.52007,989.44335,252.6673204686
14,test,125000,52,48.7865378855,29.9999992698,55.9999994487,0.05,3500000,1000000,2.18604,0,874992,18800.702073,242.168843,516.1687955044
15,train,250000,104,49.8644225412,41.0999993905,60.3999995142,0.1,3750000,1000000,2.19195,0.0001979707,937492,19694.620455,893.916086,279.6683088216
15,test,125000,52,55.7269225831,50.0999995098,61.4999995455,0.05,3750000,1000000,2.19195,0,937492,19936.393185,241.759447,517.0428769222
16,train,250000,104,53.2221148986,44.099999629,60.4999995306,0.1,4000000,1000000,2.4864,0.0001974677,999992,20825.660115,889.264701,281.1311409515
16,test,125000,52,58.5211533865,52.1999995112,65.0999995694,0.05,4000000,1000000,2.4864,0,999992,21066.884151,241.210777,518.2189683009
17,train,250000,104,56.2480764842,44.7999995053,63.1999995708,0.1,4250000,1000000,2.41303,0.0001894243,1062492,21955.680741,888.794378,281.2799070158
17,test,125000,52,58.3711534585,44.1999995708,67.299999617,0.05,4250000,1000000,2.41303,0,1062492,22196.914828,241.220824,518.1973841529
18,train,250000,104,56.1778841795,45.9999996722,62.4999995902,0.1,4500000,1000000,2.49643,0.0001895626,1124992,23085.391245,888.474203,281.3812704475
