epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
1,train,250000,315,-69.7796836749902,-81.30000122636557,-4.500000081956387,0.7750009,250000,250000,0.179123,0.0022709307070360825,62492,575.534238,568.080783,440.078255560354
1,test,125000,157,-39.96560621176176,-54.50000113993883,-27.300001092255116,0.05,250000,250000,0.179123,0,62492,831.647545,256.098617,488.0932254312018
2,train,250000,314,-67.07006481370536,-79.60000121593475,-49.200000792741776,0.5500008999999999,500000,500000,0.431115,0.0012522933457108304,124992,1480.913681,649.2638329999999,385.0514802970706
2,test,125000,157,-73.611466101875,-86.90000132471323,-55.80000092089176,0.05,500000,500000,0.431115,0,124992,1731.737587,250.81106699999987,498.38311161923355
3,train,250000,314,-65.22038327793409,-85.60000133514404,-47.90000080317259,0.32500090000000004,750000,750000,0.792241,0.00094683568398351114,187492,2488.926457,757.1865610000002,330.16962116949134
3,test,125000,157,-63.967516943005585,-80.10000126808882,-49.60000082850456,0.05,750000,750000,0.792241,0,187492,2738.737887,249.7989319999997,500.402459687058
4,train,250000,314,-55.06401381658235,-80.40000136196613,-26.900000877678394,0.10000090000000006,1000000,1000000,1.26464,0.00086054442775026997,249992,3602.7727379999997,864.0325839999996,289.34093994770006
4,test,125000,157,-74.29299479058594,-80.0000011920929,-64.50000112503767,0.05,1000000,1000000,1.26464,0,249992,3853.634221,250.83133199999975,498.3428465786727
5,train,250000,314,-36.375478627978836,-60.10000117868185,-9.50000075250864,0.1,1250000,1000000,1.81284,0.001039095460961204,312492,4763.503245,909.866728,274.76551488978066
5,test,125000,157,-2.240764453342764,-15.30000027269125,7.299999944865704,0.05,1250000,1000000,1.81284,0,312492,5003.748481,240.23038499999984,520.3338453626509
6,train,250000,314,-37.13789900204839,-58.800001099705696,-8.700000621378422,0.1,1500000,1000000,2.37839,0.0013573623256529599,374992,5903.785086,900.0343300000004,277.76718250291617
