epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
1,train,250000,2242,0.0,0.0,0.0,0.7750009,250000,250000,0.0112206,1.9777062951324482e-06,62492,614.8419829999999,610.702907,409.3643523462056
1,test,125000,1121,0.0,0.0,0.0,0.05,250000,250000,0.0112206,0,62492,895.403705,280.546837,445.5584006459499
2,train,250000,2242,0.0,0.0,0.0,0.5500008999999999,500000,500000,0.0125195,9.3822987052538077e-07,124992,1582.4782500000001,687.071726,363.8630299276789
2,test,125000,1121,0.0,0.0,0.0,0.05,500000,500000,0.0125195,0,124992,1853.72813,271.23366899999996,460.85723966665813
3,train,250000,2242,0.0,0.0,0.0,0.32500090000000004,750000,750000,0.014173,6.5916070584719097e-07,187492,2674.371906,820.6412290000001,304.6398245243415
3,test,125000,1120,0.0,0.0,0.0,0.05,750000,750000,0.014173,0,187492,2938.065745,263.66135299999996,474.0929930675127
4,train,250000,2243,0.0,0.0,0.0,0.10000090000000006,1000000,1000000,0.0136872,4.6343497374683896e-07,249992,3969.5376109999997,1031.46868,242.37284645424234
4,test,125000,1121,0.0,0.0,0.0,0.05,1000000,1000000,0.0136872,0,249992,4241.93115,272.3486990000001,458.9704318727072
5,train,250000,2242,0.0,0.0,0.0,0.1,1250000,1000000,0.0131067,3.3193715920391991e-07,312492,5432.530643,1190.5968670000002,209.97871481884218
5,test,125000,1121,0.0,0.0,0.0,0.05,1250000,1000000,0.0131067,0,312492,5674.386618,241.82747800000016,516.8974222193225
6,train,250000,2242,0.0,0.0,0.0,0.1,1500000,1000000,0.0136388,2.3834100441360782e-07,374992,6580.442107,906.0531209999999,275.9220118618189
6,test,125000,1121,0.0,0.0,0.0,0.05,1500000,1000000,0.0136388,0,374992,6822.537004000001,242.08144900000025,516.3551379767223
7,train,250000,2242,0.0,0.0,0.0,0.1,1750000,1000000,0.0115985,1.6679166644101563e-07,437492,7728.323414,905.7840189999997,276.0039863321988
7,test,125000,1120,0.0,0.0,0.0,0.05,1750000,1000000,0.0115985,0,437492,7970.428991000001,242.0924070000001,516.3317658285745
8,train,250000,2243,0.0,0.0,0.0,0.1,2000000,1000000,0.0105084,1.1863619180231691e-07,499992,8876.260835,905.8294809999998,275.99013417405
8,test,125000,1121,0.0,0.0,0.0,0.05,2000000,1000000,0.0105084,0,499992,9118.199304,241.92506700000013,516.6889134311987
9,train,250000,2242,0.0,0.0,0.0,0.1,2250000,1000000,0.00957256,8.4683198963449415e-08,562492,10023.161076999999,904.9594209999996,276.25548085210784
9,test,125000,1120,0.0,0.0,0.0,0.05,2250000,1000000,0.00957256,0,562492,10265.370101999999,242.1955939999989,516.1117836024737
10,train,250000,2243,0.0,0.0,0.0,0.1,2500000,1000000,0.0088855,6.4216080330238859e-08,624992,11160.350532999999,894.9781019999991,279.336443474234
10,test,125000,1120,0.0,0.0,0.0,0.05,2500000,1000000,0.0088855,0,624992,11397.953550999999,237.58961999999883,526.1172605099525
