epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
1,train,250000,2651,0.8657110524330452,-2.0,3.0,0.7750009,250000,250000,0.172872,0.0090596174752703412,62492,652.033381,644.10138,388.137656218032
1,test,125000,1314,0.22146118721461183,-2.0,3.0,0.05,250000,250000,0.172872,0,62492,942.803933,290.75237300000003,429.9191050798405
2,train,250000,2704,0.7459319526627216,-2.0,3.0,0.5500008999999999,500000,500000,0.321822,0.0044577602633352311,124992,1705.6460530000002,762.8395560000001,327.72291110714235
2,test,125000,1496,0.5340909090909097,-2.0,3.0,0.05,500000,500000,0.321822,0,124992,1997.42549,291.76222299999995,428.43106525137773
3,train,250000,2783,0.7121810995328782,-2.0,3.0,0.32500090000000004,750000,750000,0.410764,0.0031455839514756214,187492,2892.244865,894.816818,279.3867917668038
3,test,125000,2338,0.22070145423438833,-2.0,3.0,0.05,750000,750000,0.410764,0,187492,3187.490459,295.2277560000002,423.40192430958257
4,train,250000,3094,0.8713639301874598,-2.0,3.0,0.10000090000000006,1000000,1000000,0.615758,0.0027136144310875169,249992,4211.913617,1024.420564,244.0403958934975
4,test,125000,2108,0.4397533206831118,-2.0,3.0,0.05,1000000,1000000,0.615758,0,249992,4506.047277,294.1166399999993,425.00145520498364
5,train,250000,3794,1.0927780706378516,-2.0,3.0,0.1,1250000,1000000,0.787685,0.0027231932630997612,312492,5590.857588,1084.8075659999995,230.4556198126665
5,test,125000,1625,1.1021538461538485,-2.0,3.0,0.05,1250000,1000000,0.787685,0,312492,5883.243684,292.36852799999997,427.54259788180764
6,train,250000,4262,1.3779915532613831,-2.0,3.0,0.1,1500000,1000000,0.918009,0.0026758874343676157,374992,6968.4484170000005,1085.2020930000008,230.37183729427235
6,test,125000,3322,1.3094521372667023,-2.0,3.0,0.05,1500000,1000000,0.918009,0,374992,7264.368564,295.9031279999999,422.4355478932282
7,train,250000,4972,1.6711584875301682,-2.0,3.0,0.1,1750000,1000000,1.00036,0.0028310983807780655,437492,8351.427995,1087.0568160000012,229.97877969241281
7,test,125000,3342,1.5954518252543375,-2.0,3.0,0.05,1750000,1000000,1.00036,0,437492,8680.134516999999,328.68940499999917,380.2982332211174
8,train,250000,4925,1.9193908629441652,-2.0,3.0,0.1,2000000,1000000,1.12698,0.0028298833222354346,499992,9859.21753,1179.0802570000014,212.02967186991046
8,test,125000,3087,1.8202137998056358,-2.0,3.0,0.05,2000000,1000000,1.12698,0,499992,10188.424670999999,329.18928699999924,379.720741033715
9,train,250000,4953,1.8824954572986046,-2.0,3.0,0.1,2250000,1000000,1.3876,0.0025879313714331897,562492,11367.638047999999,1179.210665999999,212.00622349187623
9,test,125000,2210,1.8316742081447954,-2.0,3.0,0.05,2250000,1000000,1.3876,0,562492,11692.618207,324.9618810000011,384.6605011496705
10,train,250000,4628,1.9693171996542795,-2.0,3.0,0.1,2500000,1000000,1.49669,0.0025792985603465481,624992,12872.476525,1179.8553500000016,211.89038130818295
