epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,1005,-0.6935323383084583,-1.0,3.0,1,8500000,0,0,0,0,5.085253,5.058127,9885.081968088189
35,train,250000,5355,-0.818300653594772,-1.0,3.0,0.1,8750000,250000,-0.254969,0.0075085803813065028,62492,1160.557625,1155.4721089999998,216.36177805828808
35,test,125000,2690,-0.8249070631970276,-1.0,3.0,0.05,8750000,250000,-0.254969,0,62492,1476.168995,315.59174200000007,396.0813397962738
36,train,250000,5276,-0.7810841546626234,-1.0,3.0,0.1,9000000,500000,-0.284848,0.0038697872003852227,124992,2621.5335419999997,1145.361772,218.27164666361853
36,test,125000,2651,-0.7985665786495653,-1.0,3.0,0.05,9000000,500000,-0.284848,0,124992,2938.0843729999997,316.531888,394.904920290369
37,train,250000,5258,-0.7799543552681628,-1.0,3.0,0.1,9250000,750000,-0.243236,0.0027691310134516224,187492,4084.5741249999996,1146.4869839999997,218.0574254125157
37,test,125000,2774,-0.89834174477289,-1.0,3.0,0.05,9250000,750000,-0.243236,0,187492,4399.578026,314.9849650000001,396.8443382686534
38,train,250000,5276,-0.7943517816527657,-1.0,3.0,0.1,9500000,1000000,-0.246229,0.0022845906859175146,249992,5546.44445,1146.863303,217.9858744682495
38,test,125000,2782,-0.9090582314881391,-1.0,3.0,0.05,9500000,1000000,-0.246229,0,249992,5861.95777,315.4949239999996,396.2028878791094
39,train,250000,5265,-0.7817663817663841,-1.0,3.0,0.1,9750000,1000000,-0.13729,0.0020269751046255681,312492,7006.8721160000005,1144.9115490000004,218.3574794213207
39,test,125000,2703,-0.842397336293009,-1.0,3.0,0.05,9750000,1000000,-0.13729,0,312492,7324.102951,317.2124159999994,394.0577155718906
40,train,250000,5230,-0.7711281070745696,-1.0,3.0,0.1,10000000,1000000,-0.278099,0.0017403222798532418,374992,8468.613584,1144.5078980000008,218.43449087321181
40,test,125000,2688,-0.8247767857142869,-1.0,3.0,0.05,10000000,1000000,-0.278099,0,374992,8785.633904,317.0018689999997,394.31944169389146
41,train,250000,5236,-0.76394194041253,-1.0,3.0,0.1,10250000,1000000,-0.191162,0.0014488059694396031,437492,9929.632435,1143.9957099999992,218.5322880275488
41,test,125000,2560,-0.6972656250000012,-1.0,3.0,0.05,10250000,1000000,-0.191162,0,437492,10245.385798,315.7349129999984,395.9017354536292
42,train,250000,5253,-0.7763182943080122,-1.0,3.0,0.1,10500000,1000000,-0.18545,0.001301212662103871,499992,11389.234536,1143.8459079999993,218.56090776870633
42,test,125000,2626,-0.7806549885757805,-1.0,3.0,0.05,10500000,1000000,-0.18545,0,499992,11706.257915,317.00456400000076,394.3160894049453
43,train,250000,5257,-0.7749667110519292,-1.0,3.0,0.1,10750000,1000000,-0.283494,0.0011348414915061174,562492,12851.43905,1145.1783140000007,218.3066138641531
